"url","New column","New column (1)"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Futsal","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Futvóley","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Fútbol gaélico","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Gaelic handball","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Gateball","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Goalball","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Handball","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Harrow Football","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Hide and seek gang tag","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Hornussen","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Horseshoe","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Hurling","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Ice Hockey","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Indiaca","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Indoor soccer","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Inline hockey","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Jugger","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Kabaddi","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Kickball","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Korfball","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Kronum","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Lacrosse","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Marching Band","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Mesoamerican ballgame","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Motorcycle speedway","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Netball","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Oina","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Padbol","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Paintball","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Basque pelota","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Pesäpallo","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Petanque","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Polo","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Polocrosse","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Ringette","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Rinkball","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Road hockey","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Roller Hockey","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Rounders","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Rowing","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Royal Shrovetide Football","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Rugby","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Rugby playa","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Sepak Takraw","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Shinty","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Skater hockey","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Slamball","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Softball","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Speedball","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Spongee polo","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Surfboat","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Tchoukball","Deporte"
"https://es.wikipedia.org/wiki/Anexo:Deportes","Tenis","Deporte"
