"New column","New column (1)"
"Palm Beach Story, The","Cine"
"Bridge on the River Kwai, The","Cine"
"Last Tango in Paris","Cine"
"This is Spinal Tap","Cine"
"King of Comedy, The","Cine"
"Double Life of Veronique, The","Cine"
"Tenant, The","Cine"
"Cleo from 5 to 7","Cine"
"1900","Cine"
"In a Year with 13 Moons","Cine"
"Woman in the Dunes","Cine"
"Chelsea Girls","Cine"
"Man of Aran","Cine"
"Heat","Cine"
"I Know Where I'm Going!","Cine"
"Network","Cine"
"Nostalghia","Cine"
"Butch Cassidy and the Sundance Kid","Cine"
"All That Heaven Allows","Cine"
"Yojimbo","Cine"
"Landscape in the Mist","Cine"
"Cloud-Capped Star, The","Cine"
"Moment of Innocence, A","Cine"
"Tree of Wooden Clogs, The","Cine"
"Star is Born, A","Cine"
"Shadows","Cine"
"Dead Ringers","Cine"
"High and Low","Cine"
"Wanda","Cine"
"Young Girls of Rochefort, The","Cine"
"Stranger Than Paradise","Cine"
"Out 1, noli me tangere","Cine"
"Ivan's Childhood","Cine"
"Stromboli","Cine"
"Charulata","Cine"
"Silence of the Lambs, The","Cine"
"Closely Watched Trains","Cine"
"French Cancan","Cine"
"High Noon","Cine"
"Dead, The","Cine"
"Brokeback Mountain","Cine"
"Hustler, The","Cine"
"WALL-E","Cine"
"Teorema","Cine"
"Gleaners & I, The","Cine"
"Plaisir, Le","Cine"
"Carrie","Cine"
"Hour of the Furnaces, The","Cine"
"Koyaanisqatsi","Cine"
"To Have and Have Not","Cine"
"Opening Night","Cine"
"Raise the Red Lantern","Cine"
"Five Easy Pieces","Cine"
"Heaven's Gate","Cine"
"Sorrow and the Pity, The","Cine"
"Uncle Boonmee Who Can Recall His Past Lives","Cine"
"Daisies","Cine"
"Dogville","Cine"
"House is Black, The","Cine"
"Tristana","Cine"
"Taste of Cherry","Cine"
"Aliens","Cine"
"Pyaasa","Cine"
"Army of Shadows","Cine"
"Masculin Feminin","Cine"
"Barren Lives","Cine"
"Fitzcarraldo","Cine"
"Marketa Lazarova","Cine"
"Scenes from a Marriage","Cine"
"Long Goodbye, The","Cine"
"Terra em Transe","Cine"
"Cameraman, The","Cine"
"Turin Horse, The","Cine"
"Death of Mr. Lazarescu, The","Cine"
"Kagemusha","Cine"
"Fight Club","Cine"
"Awful Truth, The","Cine"
"Quince Tree of the Sun","Cine"
"Hour of the Wolf","Cine"
"Innocents, The","Cine"
"White Ribbon, The","Cine"
"Alexander Nevsky","Cine"
"Gimme Shelter","Cine"
"Scarlet Empress, The","Cine"
"Wind Will Carry Us, The","Cine"
"Region centrale, La","Cine"
"Limelight","Cine"
"Suspiria","Cine"
"Senso","Cine"
"Day for Night","Cine"
"Easy Rider","Cine"
"Shawshank Redemption, The","Cine"
"Night at the Opera, A","Cine"
"Platform","Cine"
"Enigma of Kaspar Hauser, The","Cine"
"Elephant","Cine"
"Chronicle of a Summer","Cine"
"a nos amours","Cine"
"Some Came Running","Cine"
"Dersu Uzala","Cine"
"Short Cuts","Cine"
"Strangers on a Train","Cine"
"Wind, The","Cine"
"Shane","Cine"
"Fantasia","Cine"
"Triumph of the Will","Cine"
"Monty Python's Life of Brian","Cine"
"Early Summer","Cine"
"Shadows of Our Forgotten Ancestors","Cine"
"Elephant Man, The","Cine"
"Mad Max 2","Cine"
"Muriel","Cine"
"Punch-Drunk Love","Cine"
"Terminator, The","Cine"
"Pinocchio","Cine"
"Toy Story","Cine"
"Naked","Cine"
"Top Hat","Cine"
